,area,mean_intensity,eccentricity,major_axis_length,perimeter,max_intensity,circularity
83,463,85.83153347732181,0.3628046268031753,25.220226786261904,78.42640687119285,128,0.9459457248293496
84,459,92.05010893246187,0.6464399719049216,27.78304329209314,79.59797974644667,150,0.9103710931858788
85,459,90.42701525054466,0.6777983358103242,28.43832673977607,79.59797974644665,121,0.9103710931858792
86,326,122.7239263803681,0.7285046826960774,24.71531455592844,67.94112549695427,206,0.8874869793099583
87,691,118.5643994211288,0.7773934211085091,37.47292351674893,99.49747468305833,190,0.8771296563192225
88,531,77.45197740112994,0.7457603513631897,32.27096336648838,88.42640687119285,117,0.8533760077161697
89,448,85.62276785714286,0.594659479713078,26.6662234198754,77.59797974644667,129,0.9349471214181397
90,501,75.69660678642714,0.5118274419397308,27.340459402805795,83.01219330881975,104,0.9136162434505107
91,414,99.60386473429952,0.6915175687680466,27.016561283909855,74.76955262170047,169,0.9305948418515589
92,584,117.64212328767124,0.7838996198487657,34.6170455266999,90.66904755831214,201,0.8926980863741586
93,563,74.57548845470693,0.6649344012314811,31.096688676814658,88.42640687119285,107,0.9048035637367299
94,446,95.94618834080717,0.40697004112843194,25.01617043200183,77.01219330881975,145,0.9449867913774346
95,309,65.77669902912622,0.7689407842913057,25.852894528020276,73.4558441227157,102,0.7196405648967283
96,260,76.78461538461538,0.823653907476785,24.57885127409523,63.45584412271571,97,0.8114092617382933
97,592,81.90202702702703,0.7984985760419866,36.12657249306897,97.01219330881976,120,0.7904582267756208
98,530,75.85471698113207,0.7312034296237878,31.49600294310331,85.84062043356595,111,0.9038576492267024
99,477,92.61215932914047,0.604372389113342,28.34745216474797,87.59797974644667,143,0.7811601184103679
100,699,99.20886981402003,0.7305773291503974,36.142159415257126,98.08326112068522,150,0.9130556445916973
101,543,95.06813996316758,0.6955124172324737,31.05540318315296,86.08326112068524,144,0.9208147582893587
102,522,70.1896551724138,0.7721616114816531,32.63213841875323,87.01219330881976,97,0.8664033742267213
103,619,68.60420032310178,0.6746942580178322,32.75352719604391,91.49747468305833,96,0.9291424398156314
104,469,85.02345415778251,0.33044415684909334,25.63784248548325,83.1126983722081,128,0.8531942927647015
105,566,72.40282685512368,0.7115676679939523,32.250065856350304,90.08326112068522,107,0.8764720991110881
106,377,67.19628647214854,0.7167494031692737,26.83215664849994,77.4558441227157,96,0.7896648950063572
107,296,62.94932432432432,0.8305946046693136,26.480105887686214,68.42031021678297,93,0.7945687806219233
108,539,70.49165120593692,0.6001828066303538,29.345964726853477,85.84062043356595,108,0.9192061753456465
109,806,101.55955334987593,0.4970040330123544,34.514394632430374,105.1543289325507,159,0.9159897069193863
110,307,130.557003257329,0.6100582733995484,22.235256266305324,63.11269837220809,212,0.968533712160403
111,801,83.38951310861424,0.6129341653636378,35.9908210202685,104.5685424949238,121,0.9205349257957318
112,247,62.25506072874494,0.7170860048070988,21.652099179479034,59.79898987322333,82,0.8679987933032927
113,357,63.38655462184874,0.6331763430686624,24.4859346127181,72.42031021678298,90,0.855376507722932
114,585,64.26666666666667,0.7900813764773895,34.90331265732355,92.91168824543142,92,0.8515791647240909
115,237,83.15189873417721,0.6465475133111108,20.331136537244095,59.00609665440988,123,0.8553905289850454
116,650,69.04153846153847,0.703515694062287,34.22213405890329,95.01219330881976,96,0.9048248787882314
117,376,76.89095744680851,0.29052167826307523,22.681587856139345,73.45584412271572,116,0.8756791339843683
118,693,73.72582972582973,0.6751066742128742,34.617889446771464,97.01219330881976,107,0.9253168093842993
119,280,134.7107142857143,0.7185720590878149,22.69136450224743,61.698484809834994,209,0.9243126522603589
120,578,74.65397923875433,0.6819124107974737,31.88626371984088,89.49747468305833,103,0.9068096646247588
121,716,74.8659217877095,0.7516906332652253,37.26678558359509,101.74011537017762,121,0.8692374614154188
122,710,112.52957746478873,0.6365543798965507,34.263720585329594,98.66904755831213,182,0.9164448619577978
123,277,141.04693140794222,0.6250003228947465,21.307163758074683,60.2842712474619,228,0.957814930445274
124,533,82.90431519699813,0.5787381952301719,28.88913081879676,84.18376618407356,129,0.9451056745155665
125,384,113.90885416666667,0.7298499383726238,27.41091782596262,77.45584412271572,219,0.8043271079109842
